word,rank
[UNK],1
و,2
في,3
من,4
الله,5
على,6
لا,7
الجزائر,8
يا,9
ربي,10
كل,11
هذا,12
ما,13
الشعب,14
ولا,15
لي,16
غير,17
مع,18
ان,19
هو,20
شاء,21
الماء,22
والله,23
حتى,24
عن,25
كي,26
البلاد,27
هي,28
العصابة,29
كان,30
تاع,31
أن,32
واش,33
واحد,34
هذه,35
التي,36
تبون,37
أزمة,38
عليه,39
بعد,40
بوصبع,41
الى,42
إلى,43
لم,44
صحافة,45
الذي,46
الناس,47
راه,48
فيها,49
ازمة,50
فيه,51
الجزائري,52
او,53
لله,54
بلاد,55
دولة,56
اللهم,57
عليكم,58
باش,59
هم,60
إن,61
المغرب,62
يوم,63
تحيا,64
حكومة,65
الا,66
الجديدة,67
فرنسا,68
المياه,69
شعب,70
خير,71
راهي,72
راهم,73
كانت,74
الوكيل,75
الخير,76
يبارك,77
الكذب,78
يرحم,79
انت,80
الوطن,81
علينا,82
عصابة,83
شيء,84
انا,85
الجيش,86
كيما,87
الدولة,88
علي,89
العالم,90
الحمد,91
وين,92
الوطني,93
ليس,94
اللي,95
يعني,96
روح,97
بالله,98
فاشلة,99
عليهم,100
والو,101
ناس,102
كامل,103
برك,104
الي,105
أو,106
هذي,107
إلا,108
لكن,109
كاين,110
عليها,111
لو,112
كما,113
يكون,114
بن,115
النظام,116
وجوه,117
قناة,118
له,119
فقط,120
ونعم,121
حنا,122
ماشي,123
علاه,124
عند,125
راكم,126
رئيس,127
اليوم,128
منهم,129
لبلاد,130
قال,131
عليك,132
راك,133
العظيم,134
الشر,135
وزير,136
نفس,137
مزال,138
مبروك,139
قبل,140
سبب,141
العار,142
راح,143
بلي,144
هدا,145
خرطي,146
انتم,147
ههههه,148
كبير,149
عيب,150
رانا,151
حاجة,152
بين,153
مستوى,154
قتل,155
مرة,156
مثل,157
الرئيس,158
نحن,159
فيهم,160
تكون,161
بلا,162
بدون,163
الصحراء,164
الحليب,165
مزور,166
قوة,167
بالتوفيق,168
نتاع,169
فيكم,170
سنة,171
منذ,172
بكل,173
ومن,174
ماء,175
عندنا,176
العام,177
الخرطي,178
محرز,179
عام,180
المهم,181
العسكر,182
الزيت,183
منها,184
جميع,185
تع,186
الفتنة,187
الحراك,188
لازم,189
كذب,190
رب,191
الجفاف,192
عندما,193
ضد,194
العاصمة,195
الدين,196
مكانش,197
بل,198
يارب,199
رجال,200
حسبنا,201
انشاء,202
وهو,203
كارثة,204
الفقر,205
الجزائرية,206
يجب,207
ياو,208
ن,209
كيف,210
عبد,211
صح,212
حول,213
جدا,214
تربحكم,215
باه,216
الفساد,217
الحكومة,218
وجه,219
هناك,220
هاذي,221
نهار,222
مسكين,223
لما,224
جديد,225
بلماضي,226
المواطن,227
الحق,228
اكبر,229
مياه,230
لوكان,231
كون,232
صالح,233
سبحان,234
بلادنا,235
نعم,236
نظام,237
مكان,238
ذلك,239
بيها,240
يجيب,241
هههه,242
هنا,243
غي,244
علاش,245
السدود,246
اذا,247
يقول,248
لك,249
عدم,250
سوف,251
م,252
لن,253
روحو,254
جديدة,255
انه,256
الشعبي,257
وقت,258
وفي,259
مكاش,260
لها,261
كلش,262
